STRTDAY,STRTMNTH,STRTYR,ENDYEAR,ENDMNTH,ENDDAY,date,date1,NAMEA,NAMEB
7,8,1954,1955,6,8,1955/6/8,,,
17,8,1961,1961,12,19,1961/12/19,,,
22,9,1947,1947,11,10,1947/11/10,,,
13,3,1951,1951,8,14,1951/8/14,,,
20,7,1971,1971,8,13,1971/8/13,,,
1,7,1937,1937,12,31,1937/12/31,,,
2,7,1962,1962,10,19,1962/10/19,,,
30,9,1963,1963,11,4,1963/11/4,,,
9,5,1909,1910,3,23,1910/3/23,,,
23,5,1911,1911,12,30,1911/12/30,,,
1,2,1958,1958,2,25,1958/2/25,,,
1,5,1900,1902,4,6,1902/4/6,,,
1,11,1907,1907,11,31,1907/12/1,,,
1,1,1912,1912,2,18,1912/2/18,,,
1,7,1952,1952,9,31,1952/10/1,,,
4,8,1955,1955,9,31,1955/10/1,,,
1,4,1958,1958,8,19,1958/8/19,,,
16,8,1959,1959,9,29,1959/9/29,,,
24,3,1960,1960,3,24,1960/3/24,,,
17,9,1963,1963,9,17,1963/9/17,,,
6,5,1972,1972,5,25,1972/5/25,,,
18,11,1973,1973,11,18,1973/11/18,,,
1,11,1975,1976,3,11,1976/3/11,,,
25,10,1971,1972,10,28,1972/10/28,,,
11,11,1962,1962,12,15,1962/12/15,,,
21,10,1962,1962,12,22,1962/12/22,,,
1,10,1962,1963,12,22,1963/12/22,,,
5,10,1962,1963,12,22,1963/12/22,,,
1,5,1966,1967,5,14,1967/5/14,,,
26,11,1969,1969,12,12,1969/12/12,,,
25,9,1949,1950,1,31,,,,
23,6,1959,1959,7,24,,,,
1,7,1959,1959,7,24,,,,
8,5,1967,1967,5,8,,,,
23,11,1957,1958,2,24,,,,
1,1,1972,1972,6,30,,,,
1,1,1973,1974,1,2,,,,
1,2,1901,1901,6,17,,,,
9,7,1962,1962,8,19,,,,
29,12,1958,1958,12,29,,,,
29,12,1958,1959,1,29,,,,
1,1,1931,1931,1,31,,,,
30,12,1931,1932,4,1,,,,
1,5,1934,1934,6,23,,,,
15,11,1933,1934,6,23,,,,
1,10,1921,1921,10,30,,,,
15,11,1914,1917,3,20,,,,
3,11,1918,1918,11,3,,,,
18,5,1920,1921,2,24,,,,
8,5,1920,1921,2,24,,,,
13,8,1974,1975,3,13,,,,
30,11,1971,1972,6,3,,,,
6,4,1969,1969,6,13,,,,
22,9,1959,1960,1,21,,,,
1,9,1932,1933,5,25,,,,
1,2,1934,1934,5,19,,,,
5,12,1917,1917,12,26,,,,
15,12,1919,1921,2,31,,,,
1,12,1901,1905,1,29,,,,
1,2,1910,1910,12,31,,,,
22,4,1912,1913,3,31,,,,
1,11,1914,1916,1,31,,,,
1,2,1917,1918,5,31,,,,
8,10,1932,1932,11,12,,,,
1,12,1934,1936,10,31,,,,
1,5,1938,1938,6,27,,,,
1,6,1939,1942,2,11,,,,
11,8,1951,1951,8,15,,,,
24,1,1954,1954,10,31,,,,
1,8,1955,1955,9,27,,,,
11,1,1971,1971,1,16,,,,
1,10,1907,1907,10,31,,,,
18,1,1911,1911,7,19,,,,
1,4,1913,1913,5,31,,,,
21,10,1902,1904,7,12,,,,
1,8,1918,1918,8,31,,,,
14,10,1966,1967,4,14,,,,
1,2,1922,1922,8,20,,,,
1,10,1927,1928,2,14,,,,
7,4,1929,1929,4,7,,,,
1,3,1929,1929,7,9,,,,
28,8,1935,1935,9,31,,,,
28,1,1969,1969,7,28,,,,
19,4,1957,1957,6,23,,,,
17,9,1900,1901,11,16,,,,
19,2,1917,1917,9,3,,,,
1,3,1920,1920,5,14,,,,
1,3,1919,1919,3,31,,,,
19,6,1902,1903,4,31,,,,
1,1,1906,1906,1,31,,,,
19,11,1910,1911,3,30,,,,
1,5,1911,1911,10,20,,,,
1,11,1918,1918,12,31,,,,
1,9,1922,1922,11,31,,,,
25,7,1920,1920,8,22,,,,
15,7,1920,1920,8,22,,,,
22,3,1962,1962,4,31,,,,
1,11,1975,1976,7,31,,,,
13,7,1976,1976,8,12,,,,
11,9,1976,1976,9,11,,,,
1,8,1954,1954,8,1,,,,
1,4,1954,1955,2,24,,,,
2,7,1918,1918,8,30,,,,
24,12,1913,1914,1,31,,,,
1,9,1943,1943,9,8,,,,
10,2,1973,1973,2,10,,,,
5,1,1907,1907,4,23,,,,
12,3,1907,1907,4,23,,,,
3,1,1909,1909,5,25,,,,
14,3,1909,1909,5,25,,,,
15,3,1909,1909,5,25,,,,
12,3,1909,1909,5,25,,,,
30,6,1907,1907,6,30,,,,
11,6,1907,1907,11,13,,,,
13,7,1906,1906,7,20,,,,
1,3,1906,1906,7,20,,,,
28,5,1906,1906,6,31,,,,
24,6,1969,1969,7,18,,,,
2,4,1912,1912,7,1,,,,
26,12,1959,1959,12,28,,,,
15,5,1962,1962,5,15,,,,
21,8,1935,1935,10,31,,,,
19,3,1964,1964,4,25,,,,
19,3,1964,1965,4,28,,,,
1,2,1956,1956,2,31,,,,
30,5,1958,1958,7,1,,,,
31,12,1965,1966,8,31,,,,
26,12,1965,1966,8,2,,,,
31,12,1965,1966,2,18,,,,
26,12,1965,1966,2,18,,,,
26,12,1965,1966,8,18,,,,
5,2,1967,1967,2,24,,,,
24,2,1967,1967,2,24,,,,
1,1,1919,1920,11,18,,,,
1,11,1953,1954,5,31,,,,
5,8,1958,1959,2,9,,,,
18,6,1961,1961,12,28,,,,
15,6,1962,1962,11,17,,,,
14,4,1964,1966,10,1,,,,
22,6,1967,1967,7,20,,,,
29,5,1975,1976,2,20,,,,
2,8,1976,1987,6,30,,,,
30,6,1980,1987,6,30,,,,
28,8,1921,1921,10,13,,,,
25,6,1921,1921,11,25,,,,
6,8,1921,1921,10,18,,,,
26,9,1947,1949,1,1,,,,
18,6,1923,1923,11,5,,,,
21,10,1925,1925,10,29,,,,
10,3,1938,1938,3,20,,,,
24,4,1938,1938,10,2,,,,
24,9,1938,1938,9,30,,,,
13,10,1938,1938,11,2,,,,
15,3,1939,1939,3,23,,,,
1,8,1909,1909,8,31,,,,
30,9,1912,1913,4,19,,,,
3,9,1912,1913,4,19,,,,
18,4,1913,1913,8,29,,,,
28,4,1913,1913,7,30,,,,
28,6,1913,1913,7,30,,,,
15,7,1913,1913,8,29,,,,
12,6,1915,1916,2,31,,,,
7,3,1915,1915,10,12,,,,
2,1,1918,1918,3,9,,,,
15,9,1918,1918,11,5,,,,
1,11,1918,1918,11,31,,,,
20,3,1919,1919,8,4,,,,
20,3,1919,1919,8,18,,,,
28,3,1919,1919,8,18,,,,
24,3,1919,1919,8,18,,,,
10,4,1919,1919,8,18,,,,
23,1,1919,1919,2,1,,,,
18,6,1919,1919,12,15,,,,
16,10,1919,1919,12,15,,,,
23,6,1919,1919,12,15,,,,
15,3,1919,1919,12,15,,,,
4,5,1919,1922,10,11,,,,
15,7,1920,1920,12,1,,,,
15,3,1921,1921,10,20,,,,
5,10,1908,1909,4,19,,,,
1,1,1958,1958,1,31,,,,
25,12,1963,1964,8,10,,,,
16,11,1967,1967,12,1,,,,
1,8,1948,1948,8,13,,,,
8,8,1949,1949,8,13,,,,
16,4,1951,1951,11,24,,,,
23,8,1949,1951,11,24,,,,
6,7,1950,1951,11,24,,,,
28,1,1950,1951,11,24,,,,
13,8,1949,1951,11,24,,,,
3,6,1976,1976,9,1,,,,
8,1,1975,1975,1,8,,,,
29,3,1974,1974,5,29,,,,
20,7,1974,1974,8,16,,,,
15,7,1974,1974,8,16,,,,
26,7,1952,1952,8,13,,,,
7,5,1955,1955,7,12,,,,
17,2,1956,1956,3,26,,,,
11,3,1958,1958,8,26,,,,
23,9,1960,1960,10,31,,,,
19,5,1961,1961,9,3,,,,
29,3,1955,1955,5,4,,,,
17,6,1950,1950,10,5,,,,
1,3,1949,1949,6,31,,,,
23,2,1950,1950,6,13,,,,
8,6,1961,1961,7,19,,,,
18,9,1962,1962,11,4,,,,
5,3,1965,1965,9,23,,,,
23,9,1965,1966,1,25,,,,
1,8,1964,1965,8,5,,,,
1,7,1963,1963,8,31,,,,
15,2,1965,1965,3,17,,,,
5,7,1960,1960,9,2,,,,
8,8,1966,1966,9,17,,,,
1,1,1969,1969,2,3,,,,
17,10,1966,1966,10,17,,,,
10,7,1969,1970,6,16,,,,
9,6,1969,1969,7,31,,,,
1,1,1965,1965,1,31,,,,
15,8,1963,1963,8,15,,,,
27,10,1975,1975,10,27,,,,
1,11,1967,1967,11,1,,,,
6,8,1976,1978,2,31,,,,
11,10,1975,1975,10,19,,,,
1,3,1969,1969,9,31,,,,
9,9,1976,1977,3,9,,,,
16,11,1976,1976,11,16,,,,
1,6,1972,1972,9,18,,,,
4,5,1973,1973,5,4,,,,
9,10,1967,1967,10,10,,,,
3,2,1953,1954,2,27,,,,
30,7,1954,1954,7,30,,,,
3,8,1955,1955,12,3,,,,
1,1,1958,1959,2,5,,,,
13,1,1961,1961,1,13,,,,
5,12,1958,1960,1,5,,,,
16,3,1966,1966,4,25,,,,
16,3,1966,1966,4,16,,,,
17,2,1967,1967,9,25,,,,
12,5,1962,1962,5,24,,,,
12,5,1962,1964,2,31,,,,
5,5,1962,1962,11,24,,,,
20,5,1962,1962,7,20,,,,
24,2,1962,1962,2,24,,,,
2,2,1962,1962,2,24,,,,
3,5,1962,1964,7,31,,,,
6,1,1962,1964,7,31,,,,
20,5,1962,1962,11,20,,,,
6,1,1962,1973,2,15,,,,
28,3,1969,1969,10,16,,,,
22,1,1964,1964,1,26,,,,
15,3,1973,1973,6,29,,,,
2,4,1961,1961,4,20,,,,
1,1,1961,1961,4,20,,,,
20,4,1961,1961,4,20,,,,
16,12,1960,1961,4,20,,,,
29,12,1960,1961,4,20,,,,
14,4,1972,1972,4,14,,,,
15,5,1965,1965,5,26,,,,
13,2,1973,1973,2,13,,,,
18,2,1976,1976,8,27,,,,
29,8,1959,1959,8,29,,,,
1,1,1950,1953,5,23,,,,
7,7,1975,1975,11,16,,,,
5,7,1976,1976,7,5,,,,
1,3,1967,1967,8,18,,,,
9,8,1964,1969,10,19,,,,
27,1,1971,1971,12,25,,,,
18,9,1972,1973,3,28,,,,
22,9,1972,1972,11,28,,,,
14,7,1974,1975,9,7,,,,
14,7,1974,1974,7,14,,,,
10,7,1974,1974,7,24,,,,
25,11,1969,1971,4,31,,,,
11,2,1970,1970,4,14,,,,
20,1,1973,1973,1,20,,,,
1,12,1961,1961,12,31,,,,
8,4,1963,1963,4,17,,,,
26,5,1972,1972,5,26,,,,
24,12,1972,1973,6,14,,,,
3,3,1971,1971,4,12,,,,
18,5,1966,1969,8,7,,,,
1,10,1974,1974,11,20,,,,
20,11,1974,1974,11,20,,,,
9,1,1973,1973,6,14,,,,
28,1,1973,1973,6,14,,,,
4,10,1971,1971,10,7,,,,
23,3,1969,1969,3,26,,,,
6,4,1968,1968,7,27,,,,
14,10,1966,1966,11,4,,,,
14,5,1968,1968,5,18,,,,
15,12,1971,1971,12,16,,,,
1,3,1969,1969,4,4,,,,
2,12,1963,1964,1,1,,,,
29,10,1966,1966,11,4,,,,
10,3,1966,1966,3,10,,,,
23,7,1962,1962,7,23,,,,
1,11,1974,1975,6,3,,,,
7,4,1975,1975,4,7,,,,
1,11,1961,1961,11,31,,,,
7,12,1962,1962,12,19,,,,
16,1,1965,1965,4,16,,,,
20,1,1961,1961,9,14,,,,
2,7,1967,1967,7,3,,,,
14,8,1960,1960,8,20,,,,
16,11,1963,1964,4,19,,,,
29,12,1963,1964,3,30,,,,
26,5,1974,1974,5,28,,,,
14,12,1975,1976,1,4,,,,
9,10,1975,1977,11,27,,,,
10,6,1976,1977,8,31,,,,
18,4,1975,1979,1,7,,,,
24,12,1975,1978,1,20,,,,
28,1,1976,1976,9,31,,,,
1,8,1975,1988,8,30,,,,
28,1,1976,1976,9,30,,,,
11,11,1975,1988,8,30,,,,
3,2,1974,1974,2,3,,,,
7,4,1971,1971,12,17,,,,
12,10,1954,1954,11,20,,,,
2,5,1954,1954,11,20,,,,
16,6,1969,1969,9,31,,,,
1,8,1975,1976,7,27,,,,
30,8,1956,1956,10,4,,,,
4,10,1956,1956,10,4,,,,
26,10,1968,1968,12,18,,,,
1,12,1965,1965,12,3,,,,
1,5,1962,1962,10,5,,,,
1,4,1962,1962,10,5,,,,
4,3,1964,1964,9,28,,,,
19,4,1976,1976,4,21,,,,
18,5,1975,1975,11,20,,,,
15,2,1975,1975,11,20,,,,
24,2,1918,1918,3,25,,,,
18,4,1970,1970,7,30,,,,
26,6,1967,1970,8,7,,,,
24,11,1974,1974,11,24,,,,
27,2,1866,1866,2,27,,,,
1,11,1865,1866,5,9,,,,
11,4,1866,1866,4,11,,,,
1,2,1865,1866,5,9,,,,
4,12,1884,1885,4,18,,,,
1,10,1885,1885,11,31,,,,
17,4,1874,1874,12,3,,,,
5,6,1894,1895,3,30,,,,
5,6,1894,1894,7,23,,,,
1,5,1849,1849,7,31,,,,
12,12,1854,1855,6,13,,,,
1,3,1856,1856,3,31,,,,
20,8,1857,1857,9,31,,,,
1,2,1869,1869,2,31,,,,
7,11,1846,1847,2,6,,,,
7,12,1846,1847,2,6,,,,
20,8,1857,1858,2,20,,,,
1,5,1861,1861,6,30,,,,
1,2,1863,1863,12,31,,,,
1,8,1872,1872,11,19,,,,
1,8,1852,1852,11,31,,,,
1,10,1852,1852,11,31,,,,
21,9,1843,1844,4,30,,,,
15,3,1873,1873,5,22,,,,
1,9,1877,1877,12,31,,,,
15,10,1878,1878,11,26,,,,
1,5,1879,1879,6,16,,,,
1,12,1891,1892,1,25,,,,
1,10,1897,1898,9,22,,,,
1,3,1884,1884,3,4,,,,
1,3,1884,1884,4,4,,,,
22,1,1883,1883,3,15,,,,
22,1,1883,1883,3,22,,,,
15,2,1879,1883,10,20,,,,
8,11,1878,1880,6,22,,,,
1,8,1863,1863,12,6,,,,
19,6,1862,1862,7,31,,,,
1,11,1857,1857,11,31,,,,
25,6,1856,1856,10,11,,,,
1,3,1852,1852,7,18,,,,
2,6,1852,1852,6,2,,,,
1,2,1834,1834,8,31,,,,
20,8,1868,1868,8,31,,,,
29,9,1873,1874,4,23,,,,
22,3,1872,1872,5,31,,,,
1,4,1851,1852,2,3,,,,
21,2,1891,1891,4,22,,,,
16,10,1888,1888,12,20,,,,
27,2,1882,1882,2,27,,,,
1,11,1869,1869,11,31,,,,
1,2,1876,1876,4,25,,,,
23,6,1890,1890,8,25,,,,
10,3,1885,1885,3,31,,,,
1,3,1885,1885,3,31,,,,
28,2,1885,1885,4,15,,,,
5,12,1840,1841,2,1,,,,
1,9,1893,1893,9,31,,,,
30,6,1886,1886,8,24,,,,
1,2,1880,1880,2,31,,,,
16,5,1876,1878,8,20,,,,
20,4,1875,1875,7,12,,,,
6,5,1873,1873,6,16,,,,
21,11,1859,1860,1,4,,,,
2,3,1860,1860,3,20,,,,
1,10,1855,1855,10,31,,,,
1,11,1850,1851,1,25,,,,
23,8,1843,1848,2,2,,,,
1,4,1838,1838,4,31,,,,
1,12,1836,1837,5,31,,,,
4,4,1836,1836,7,31,,,,
1,3,1839,1839,3,31,,,,
3,1,1898,1898,8,12,,,,
7,12,1896,1896,12,7,,,,
7,12,1875,1875,12,7,,,,
14,4,1864,1865,2,5,,,,
25,4,1864,1864,9,27,,,,
7,3,1855,1855,3,9,,,,
28,2,1854,1854,4,8,,,,
1,6,1850,1850,12,31,,,,
15,3,1818,1818,5,30,,,,
1,12,1896,1897,5,19,,,,
1,3,1882,1882,4,31,,,,
7,1,1878,1878,2,26,,,,
1,2,1877,1877,5,31,,,,
19,11,1868,1869,2,6,,,,
1,10,1866,1866,10,31,,,,
24,9,1829,1829,9,25,,,,
16,10,1859,1860,3,25,,,,
2,10,1893,1894,1,31,,,,
1,1,1846,1846,7,1,,,,
1,9,1850,1850,10,14,,,,
1,1,1855,1855,3,21,,,,
1,4,1862,1862,5,31,,,,
1,8,1863,1870,3,1,,,,
1,4,1865,1870,3,1,,,,
1,5,1858,1860,1,25,,,,
1,4,1859,1859,6,31,,,,
10,8,1862,1863,2,10,,,,
1,9,1893,1894,1,23,,,,
1,4,1899,1899,10,31,,,,
1,1,1912,1912,4,13,,,,
20,9,1889,1889,9,30,,,,
1,7,1866,1866,7,31,,,,
23,12,1887,1888,2,13,,,,
19,5,1949,1949,8,14,,,,
3,5,1960,1960,11,21,,,,
23,3,1970,1970,6,1,,,,
6,11,1965,1965,12,11,,,,
18,8,1967,1968,5,7,,,,
1,6,1968,1968,8,31,,,,
3,1,1970,1970,1,18,,,,
16,1,1970,1970,1,18,,,,
28,3,1973,1973,4,8,,,,
21,12,1972,1973,4,8,,,,
7,3,1975,1975,6,5,,,,
20,12,1941,1941,12,20,,,,
13,3,1970,1970,3,18,,,,
30,10,1826,1826,10,30,,,,
20,1,1836,1836,1,21,,,,
1,2,1842,1842,6,15,,,,
4,6,1845,1846,5,16,,,,
1,8,1849,1852,6,31,,,,
1,5,1858,1858,8,27,,,,
29,11,1859,1859,11,30,,,,
1,5,1859,1859,5,31,,,,
20,12,1860,1860,12,20,,,,
11,6,1872,1872,6,12,,,,
27,4,1876,1876,8,2,,,,
13,7,1877,1877,11,31,,,,
1,1,1881,1881,1,31,,,,
1,1,1881,1881,7,31,,,,
1,10,1886,1887,4,31,,,,
1,2,1889,1889,2,31,,,,
14,10,1890,1891,3,24,,,,
2,2,1891,1891,6,24,,,,
11,2,1895,1895,3,11,,,,
10,1,1895,1895,3,11,,,,
1,1,1895,1895,7,31,,,,
11,5,1895,1895,5,25,,,,
1,6,1896,1896,12,31,,,,
6,12,1896,1896,12,6,,,,
11,10,1897,1897,10,11,,,,
1,7,1905,1906,3,6,,,,
15,8,1912,1912,8,15,,,,
25,1,1911,1912,2,29,,,,
1,8,1914,1914,9,31,,,,
1,8,1914,1914,8,1,,,,
19,2,1915,1918,1,11,,,,
6,11,1915,1916,7,31,,,,
1,2,1917,1917,5,31,,,,
5,10,1914,1918,8,27,,,,
6,1,1921,1921,1,6,,,,
1,5,1921,1921,5,31,,,,
1,11,1922,1923,9,31,,,,
1,1,1923,1923,7,31,,,,
1,12,1925,1926,1,19,,,,
1,12,1926,1927,1,15,,,,
28,10,1927,1927,10,31,,,,
6,2,1926,1926,2,6,,,,
8,2,1927,1927,4,30,,,,
1,7,1933,1934,1,31,,,,
1,2,1881,1881,2,31,,,,
1,7,1883,1884,5,28,,,,
8,8,1939,1940,2,31,,,,
14,9,1939,1939,9,17,,,,
29,8,1939,1939,9,31,,,,
29,7,1940,1940,8,7,,,,
26,8,1944,1944,9,9,,,,
1,6,1942,1942,6,22,,,,
25,1,1942,1945,8,31,,,,
1,2,1944,1944,3,19,,,,
1,3,1944,1944,5,31,,,,
15,2,1947,1947,4,3,,,,
3,4,1947,1947,4,3,,,,
16,6,1952,1952,9,16,,,,
1,8,1952,1952,10,30,,,,
30,6,1952,1952,10,26,,,,
15,9,1952,1952,10,26,,,,
1,10,1952,1952,10,26,,,,
15,7,1952,1952,10,26,,,,
7,9,1954,1954,9,7,,,,
31,5,1957,1958,6,17,,,,
2,7,1958,1958,11,1,,,,
21,5,1959,1959,9,7,,,,
28,12,1959,1959,12,30,,,,
10,1,1960,1960,1,10,,,,
1,3,1960,1960,5,28,,,,
22,7,1966,1966,12,30,,,,
27,3,1866,1866,3,31,,,,
18,5,1967,1967,10,10,,,,
26,6,1969,1969,11,30,,,,
2,8,1971,1971,8,8,,,,
1,2,1976,1976,2,31,,,,
26,5,1919,1920,10,14,,,,
4,4,1917,1917,6,22,,,,
1,3,1914,1915,2,31,,,,
1,5,1916,1916,5,31,,,,
23,11,1975,1975,11,24,,,,
1,3,1915,1915,9,31,,,,
22,2,1932,1932,2,25,,,,
2,1,1911,1911,3,10,,,,
16,1,1911,1911,3,10,,,,
25,9,1825,1825,9,26,,,,
1,5,1924,1924,11,31,,,,
16,8,1916,1916,8,16,,,,
1,7,1888,1888,7,31,,,,
15,7,1839,1841,8,29,,,,
14,1,1959,1959,1,14,,,,
29,11,1857,1858,5,29,,,,
14,2,1956,1956,2,14,,,,
28,9,1960,1960,9,28,,,,
21,1,1940,1940,1,23,,,,
6,5,1876,1876,5,30,,,,
6,7,1826,1826,7,6,,,,
3,9,1833,1833,12,11,,,,
1,5,1852,1852,6,31,,,,
1,10,1856,1857,1,31,,,,
2,4,1861,1861,4,2,,,,
1,6,1862,1863,1,5,,,,
1,5,1880,1880,12,31,,,,
1,7,1885,1885,7,31,,,,
15,10,1908,1908,10,25,,,,
26,7,1914,1914,8,2,,,,
18,7,1911,1911,7,19,,,,
24,12,1911,1911,12,24,,,,
8,8,1914,1915,2,31,,,,
30,10,1914,1918,11,11,,,,
2,6,1915,1915,7,31,,,,
25,4,1917,1917,10,17,,,,
1,4,1918,1919,7,19,,,,
6,6,1920,1920,7,28,,,,
1,4,1922,1922,7,29,,,,
24,8,1923,1923,9,24,,,,
18,12,1925,1926,2,28,,,,
18,4,1940,1940,8,1,,,,
2,8,1941,1941,12,8,,,,
6,12,1941,1941,12,6,,,,
18,1,1942,1942,8,22,,,,
13,9,1943,1943,9,18,,,,
27,11,1943,1943,11,28,,,,
18,12,1944,1945,7,5,,,,
1,4,1946,1946,12,7,,,,
14,5,1948,1948,10,31,,,,
9,2,1959,1959,8,15,,,,
28,6,1960,1960,7,31,,,,
1,1,1961,1961,9,31,,,,
1,8,1865,1866,2,12,,,,
2,5,1961,1961,11,25,,,,
28,5,1963,1963,6,14,,,,
3,12,1965,1966,8,23,,,,
11,11,1965,1966,8,23,,,,
9,1,1967,1967,2,31,,,,
18,1,1968,1969,4,28,,,,
18,1,1968,1968,1,31,,,,
10,10,1968,1969,2,28,,,,
26,1,1973,1973,1,26,,,,
26,6,1975,1975,6,28,,,,
25,11,1919,1919,12,30,,,,
12,12,1937,1937,12,12,,,,
31,3,1961,1961,3,31,,,,
11,5,1953,1953,9,23,,,,
20,9,1953,1953,10,29,,,,
27,5,1960,1960,5,27,,,,
27,4,1866,1866,4,27,,,,
1,12,1885,1885,12,31,,,,
4,2,1903,1903,2,4,,,,
2,10,1949,1950,2,27,,,,
18,10,1949,1949,11,16,,,,
5,6,1950,1950,7,15,,,,
17,8,1950,1950,8,24,,,,
23,11,1950,1950,11,23,,,,
1,12,1850,1851,1,31,,,,
1,8,1838,1838,8,31,,,,
6,12,1864,1864,12,6,,,,
12,6,1966,1966,6,13,,,,
5,5,1969,1969,5,5,,,,
25,2,1970,1970,3,21,,,,
16,10,1953,1953,10,28,,,,
11,2,1957,1957,2,11,,,,
21,7,1948,1948,10,21,,,,
14,12,1949,1949,12,14,,,,
15,2,1952,1952,3,7,,,,
28,3,1954,1954,4,5,,,,
3,3,1955,1955,3,29,,,,
20,9,1957,1957,9,20,,,,
26,11,1961,1961,11,26,,,,
25,8,1960,1960,8,27,,,,
27,12,1960,1961,1,6,,,,
22,9,1960,1960,10,19,,,,
16,2,1964,1964,3,16,,,,
11,5,1955,1955,5,11,,,,
23,7,1954,1954,7,27,,,,
23,7,1954,1954,7,23,,,,
1,8,1953,1953,9,2,,,,
24,6,1953,1953,6,24,,,,
19,1,1955,1955,1,19,,,,
27,8,1958,1958,8,27,,,,
1,2,1920,1920,2,28,,,,
16,2,1949,1949,2,25,,,,
3,5,1957,1957,6,23,,,,
3,11,1866,1866,11,3,,,,
19,6,1875,1875,12,30,,,,
1,3,1876,1876,3,16,,,,
27,7,1890,1890,8,25,,,,
1,2,1911,1911,3,5,,,,
13,12,1921,1921,12,13,,,,
12,6,1957,1957,6,13,,,,
9,9,1932,1933,5,25,,,,
14,11,1932,1932,11,14,,,,
16,2,1951,1952,10,16,,,,
1,3,1980,1982,4,14,,,,
26,3,1979,1982,4,14,,,,
13,8,1984,1985,3,1,,,,
18,9,1983,1987,4,30,,,,
1,11,1842,1843,1,31,,,,
12,11,1936,1936,11,12,,,,
4,7,1971,1971,7,4,,,,
12,6,1965,1965,6,12,,,,
31,3,1966,1966,6,24,,,,
1,4,1973,1973,5,23,,,,
28,7,1977,1978,3,14,,,,
22,2,1977,1978,3,14,,,,
14,4,1978,1979,2,7,,,,
24,2,1980,1981,6,13,,,,
30,6,1982,1983,8,13,,,,
30,1,1984,1984,5,26,,,,
20,12,1984,1985,1,2,,,,
17,9,1985,1985,10,22,,,,
1,4,1891,1891,9,31,,,,
1,3,1905,1905,3,31,,,,
7,7,1909,1909,7,7,,,,
3,11,1958,1958,11,3,,,,
25,7,1964,1964,7,29,,,,
14,7,1977,1978,2,10,,,,
18,8,1978,1979,1,9,,,,
7,9,1980,1981,2,9,,,,
25,4,1981,1981,4,29,,,,
21,9,1981,1982,2,23,,,,
18,8,1983,1983,8,18,,,,
19,10,1984,1984,10,19,,,,
16,11,1950,1950,11,20,,,,
29,6,1954,1954,9,19,,,,
25,6,1955,1955,11,5,,,,
2,5,1956,1956,5,2,,,,
7,6,1956,1956,10,3,,,,
2,8,1958,1958,9,26,,,,
1,12,1962,1963,12,26,,,,
7,4,1964,1965,2,4,,,,
25,4,1965,1965,4,25,,,,
17,7,1967,1967,7,22,,,,
23,3,1969,1969,4,23,,,,
10,12,1971,1971,12,10,,,,
12,4,1973,1973,4,12,,,,
27,2,1979,1979,2,27,,,,
1,12,1985,1987,6,4,,,,
1,12,1934,1935,1,31,,,,
10,2,1953,1953,2,10,,,,
10,2,1961,1961,4,23,,,,
18,12,1965,1966,1,12,,,,
23,5,1966,1966,5,23,,,,
14,9,1969,1969,9,14,,,,
20,1,1970,1970,2,5,,,,
14,4,1971,1971,5,31,,,,
2,1,1973,1973,3,3,,,,
24,1,1974,1974,5,21,,,,
27,2,1979,1979,6,19,,,,
24,10,1979,1980,4,16,,,,
27,8,1980,1988,8,20,,,,
18,10,1842,1842,10,26,,,,
17,6,1870,1870,6,18,,,,
15,1,1984,1984,1,15,,,,
23,1,1981,1981,3,6,,,,
21,6,1977,1978,1,18,,,,
27,2,1953,1953,7,13,,,,
21,10,1950,1950,10,21,,,,
1,2,1943,1943,2,31,,,,
11,2,1942,1942,8,11,,,,
1,4,1937,1937,12,31,,,,
27,1,1911,1911,1,28,,,,
1,8,1891,1891,8,31,,,,
10,8,1886,1886,8,10,,,,
1,10,1921,1921,12,31,,,,
1,10,1923,1923,12,31,,,,
1,8,1924,1924,12,31,,,,
26,2,1927,1927,2,27,,,,
16,1,1930,1930,1,26,,,,
1,3,1936,1937,1,9,,,,
1,5,1937,1937,11,31,,,,
7,11,1974,1975,2,31,,,,
1,3,1975,1975,3,31,,,,
20,9,1972,1972,9,22,,,,
17,4,1977,1977,7,19,,,,
24,2,1977,1977,5,11,,,,
9,10,1978,1979,6,3,,,,
11,3,1979,1979,6,3,,,,
1,1,1977,1977,4,14,,,,
8,1,1977,1977,1,25,,,,
4,2,1977,1977,2,14,,,,
31,10,1928,1928,10,31,,,,
13,12,1928,1928,12,13,,,,
26,4,1977,1977,4,26,,,,
1,5,1977,1977,10,2,,,,
15,4,1977,1977,5,26,,,,
13,5,1977,1977,5,25,,,,
8,3,1977,1977,5,26,,,,
16,4,1977,1977,5,22,,,,
28,4,1977,1977,5,25,,,,
1,5,1977,1977,5,26,,,,
28,4,1977,1977,5,26,,,,
13,5,1977,1977,5,26,,,,
1,5,1977,1977,5,22,,,,
1,5,1977,1977,5,25,,,,
28,4,1977,1977,5,22,,,,
3,2,1980,1980,2,15,,,,
1,9,1964,1964,9,1,,,,
31,12,1966,1967,4,22,,,,
29,1,1963,1963,2,27,,,,
19,2,1983,1983,2,19,,,,
7,5,1871,1871,5,7,,,,
24,6,1871,1871,6,29,,,,
1,11,1885,1885,11,31,,,,
16,3,1965,1965,3,16,,,,
6,11,1965,1965,11,6,,,,
13,9,1974,1974,10,31,,,,
1,11,1978,1978,11,1,,,,
21,3,1981,1982,3,28,,,,
20,5,1983,1984,3,10,,,,
